virus,evidence,P,paths,residuals,VirusClass,VirusOrder,VirusFamily,VirusGenus
Ngaingan hapavirus,14.696743683997026,0.9999995857284243,102,2.075851119459976,Monjiviricetes,Mononegavirales,Rhabdoviridae,Hapavirus
Alphaarterivirus equid,15.005596293823032,0.9999996958049099,87,1.8970609256368514,Pisoniviricetes,Nidovirales,Arteriviridae,Alphaarterivirus
Deltapapillomavirus 4,48.82149734925968,1.0,252,1.8416315476673528,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Deltapapillomavirus
Ife virus,38.59769407779739,1.0,197,1.8182750095239832,Resentoviricetes,Reovirales,Reoviridae,Orbivirus
Murid betaherpesvirus 1,17.190667214219904,0.999999965787243,91,1.8130746136510956,Herviviricetes,Herpesvirales,Herpesviridae,Muromegalovirus
Witwatersrand orthobunyavirus,4.444214687953413,0.9883900473576438,24,1.7633190069710218,Ellioviricetes,Bunyavirales,Peribunyaviridae,Orthobunyavirus
Vesicular stomatitis virus,45.015580637574395,1.0,206,1.7170580876789292,Monjiviricetes,Mononegavirales,Rhabdoviridae,Vesiculovirus
Bovine alphaherpesvirus 1,101.02768082686292,1.0,438,1.7046743491681484,Herviviricetes,Herpesvirales,Herpesviridae,Varicellovirus
Bluetongue virus,127.14519229822216,1.0,523,1.6639512591035412,Resentoviricetes,Reovirales,Reoviridae,Orbivirus
Main Drain orthobunyavirus,77.44260862708873,1.0,320,1.6429331430669079,Ellioviricetes,Bunyavirales,Peribunyaviridae,Orthobunyavirus
Ovine atadenovirus D,19.928895494584932,0.9999999977869529,86,1.61637526594982,Tectiliviricetes,Rowavirales,Adenoviridae,Atadenovirus
Caprine arthritis encephalitis virus,21.11717118602972,0.9999999993255821,86,1.5614441052889965,Revtraviricetes,Ortervirales,Retroviridae,Lentivirus
Sheeppox virus,21.1171711860299,0.9999999993255821,86,1.561444105288988,Pokkesviricetes,Chitovirales,Poxviridae,Capripoxvirus
Goatpox virus,21.117171186030077,0.9999999993255821,86,1.56144410528898,Pokkesviricetes,Chitovirales,Poxviridae,Capripoxvirus
Alcelaphine gammaherpesvirus 1,65.90316689140123,1.0,249,1.5451006235950309,Herviviricetes,Herpesvirales,Herpesviridae,Macavirus
Canid alphaherpesvirus 1,27.16765935644081,0.9999999999984106,106,1.5315786698103806,Herviviricetes,Herpesvirales,Herpesviridae,Varicellovirus
Simian virus 12,12.351163524527454,0.9999956753002816,44,1.3999831016444473,Papovaviricetes,Sepolyvirales,Polyomaviridae,
Equine torovirus,107.90440471952974,1.0,332,1.3651328373900045,Pisoniviricetes,Nidovirales,Tobaniviridae,Torovirus
Papio hamadryas adenovirus 1,2.980876911676355,0.9517026942106813,11,1.3619641452583127,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus
Visna-maedi virus,34.78759376901287,0.9999999999999991,108,1.3157781989563198,Revtraviricetes,Ortervirales,Retroviridae,Lentivirus
Minatitlan orthobunyavirus,13.687825863404317,0.9999988638065931,44,1.3025220192535922,Ellioviricetes,Bunyavirales,Peribunyaviridae,Orthobunyavirus
Mule deerpox virus,7.245833644078207,0.9992873688049123,23,1.257126992492967,Pokkesviricetes,Chitovirales,Poxviridae,Cervidpoxvirus
Ovine gammaherpesvirus 2,156.64832676380493,1.0,421,1.2490827718234225,Herviviricetes,Herpesvirales,Herpesviridae,Macavirus
Saboya virus,19.270238225188397,0.9999999957239589,56,1.2192565278370058,Flasuviricetes,Amarillovirales,Flaviviridae,Flavivirus
Chiropteran tetraparvovirus 1,3.037709447514189,0.9542489324716971,9,1.1433804968337669,Quintoviricetes,Piccovirales,Parvoviridae,Tetraparvovirus
Kirsten murine sarcoma virus,8.549358303153411,0.9998063681638539,24,1.1427822703497403,Revtraviricetes,Ortervirales,Retroviridae,Gammaretrovirus
Barur ledantevirus,8.549358303153443,0.9998063681638542,24,1.1427822703497368,Monjiviricetes,Mononegavirales,Rhabdoviridae,Ledantevirus
Harvey murine sarcoma virus,8.549358303153502,0.9998063681638542,24,1.1427822703497301,Revtraviricetes,Ortervirales,Retroviridae,Gammaretrovirus
