virus,host
Adeno-associated dependoparvovirus A,Sus scrofa
Adeno-associated dependoparvovirus A,Symphalangus syndactylus
Adeno-associated dependoparvovirus A,Syncerus caffer
Adeno-associated dependoparvovirus A,Tamiasciurus hudsonicus
Adeno-associated dependoparvovirus A,Taphozous melanopogon
Adeno-associated dependoparvovirus A,Tatera indica
Adeno-associated dependoparvovirus A,Theropithecus gelada
Adeno-associated dependoparvovirus A,Thylogale billardierii
Adeno-associated dependoparvovirus A,Trachypithecus cristatus
Adeno-associated dependoparvovirus A,Trachypithecus francoisi
Adeno-associated dependoparvovirus A,Trachypithecus obscurus
Adeno-associated dependoparvovirus A,Tragelaphus angasii
Adeno-associated dependoparvovirus A,Trichosurus vulpecula
Adeno-associated dependoparvovirus A,Ursus arctos
Adeno-associated dependoparvovirus A,Varecia variegata
Adeno-associated dependoparvovirus A,Vespertilio sinensis
Adeno-associated dependoparvovirus A,Vicugna pacos
Adeno-associated dependoparvovirus A,Vombatus ursinus
Adeno-associated dependoparvovirus A,Vulpes vulpes
Adeno-associated dependoparvovirus A,Wallabia bicolor
Adeno-associated dependoparvovirus A,Xerus erythropus
Adeno-associated dependoparvovirus A,Xerus inauris
Adeno-associated dependoparvovirus B,Apodemus agrarius
Adeno-associated dependoparvovirus B,Equus caballus
Adeno-associated dependoparvovirus B,Gorilla beringei
Adeno-associated dependoparvovirus B,Gorilla gorilla
Adeno-associated dependoparvovirus B,Homo sapiens
Adeno-associated dependoparvovirus B,Hylaeamys megacephalus
Adeno-associated dependoparvovirus B,Pan troglodytes
Adeno-associated dependoparvovirus B,Peromyscus maniculatus
Adeno-associated dependoparvovirus B,Proechimys guyannensis
Adeno-associated dependoparvovirus B,Zygodontomys brevicauda
African green monkey polyomavirus,Aotus trivirgatus
African green monkey polyomavirus,Callithrix jacchus
African green monkey polyomavirus,Cercocebus agilis
African green monkey polyomavirus,Cercopithecus ascanius
African green monkey polyomavirus,Cercopithecus mona
African green monkey polyomavirus,Cercopithecus nictitans
African green monkey polyomavirus,Chlorocebus aethiops
African green monkey polyomavirus,Chlorocebus pygerythrus
African green monkey polyomavirus,Chlorocebus sabaeus
African green monkey polyomavirus,Colobus guereza
African green monkey polyomavirus,Erythrocebus patas
African green monkey polyomavirus,Gorilla beringei
African green monkey polyomavirus,Gorilla gorilla
African green monkey polyomavirus,Homo sapiens
African green monkey polyomavirus,Hylaeamys megacephalus
African green monkey polyomavirus,Hylobates lar
African green monkey polyomavirus,Lophocebus albigena
African green monkey polyomavirus,Macaca arctoides
African green monkey polyomavirus,Macaca fascicularis
African green monkey polyomavirus,Macaca mulatta
African green monkey polyomavirus,Macaca nemestrina
African green monkey polyomavirus,Macaca radiata
African green monkey polyomavirus,Mandrillus sphinx
African green monkey polyomavirus,Miopithecus talapoin
African green monkey polyomavirus,Pan paniscus
African green monkey polyomavirus,Pan troglodytes
African green monkey polyomavirus,Papio anubis
African green monkey polyomavirus,Papio cynocephalus
African green monkey polyomavirus,Papio hamadryas
African green monkey polyomavirus,Papio papio
African green monkey polyomavirus,Papio ursinus
African green monkey polyomavirus,Piliocolobus badius
African green monkey polyomavirus,Pongo pygmaeus
African green monkey polyomavirus,Proechimys guyannensis
African green monkey polyomavirus,Saimiri sciureus
African green monkey polyomavirus,Sapajus apella
African green monkey simian foamy virus,Allenopithecus nigroviridis
African green monkey simian foamy virus,Bos taurus
African green monkey simian foamy virus,Callithrix jacchus
African green monkey simian foamy virus,Cercocebus agilis
African green monkey simian foamy virus,Cercocebus atys
African green monkey simian foamy virus,Cercocebus torquatus
African green monkey simian foamy virus,Cercopithecus albogularis
African green monkey simian foamy virus,Cercopithecus ascanius
African green monkey simian foamy virus,Cercopithecus cephus
African green monkey simian foamy virus,Cercopithecus diana
African green monkey simian foamy virus,Cercopithecus hamlyni
African green monkey simian foamy virus,Cercopithecus mitis
African green monkey simian foamy virus,Cercopithecus mona
African green monkey simian foamy virus,Cercopithecus neglectus
African green monkey simian foamy virus,Cercopithecus nictitans
African green monkey simian foamy virus,Cercopithecus pogonias
African green monkey simian foamy virus,Chlorocebus aethiops
African green monkey simian foamy virus,Chlorocebus pygerythrus
African green monkey simian foamy virus,Chlorocebus sabaeus
African green monkey simian foamy virus,Colobus guereza
African green monkey simian foamy virus,Erythrocebus patas
African green monkey simian foamy virus,Gorilla gorilla
African green monkey simian foamy virus,Homo sapiens
African green monkey simian foamy virus,Lophocebus albigena
African green monkey simian foamy virus,Macaca arctoides
African green monkey simian foamy virus,Macaca fascicularis
African green monkey simian foamy virus,Macaca fuscata
African green monkey simian foamy virus,Macaca mulatta
African green monkey simian foamy virus,Macaca nemestrina
African green monkey simian foamy virus,Macaca radiata
African green monkey simian foamy virus,Macaca sylvanus
African green monkey simian foamy virus,Mandrillus leucophaeus
African green monkey simian foamy virus,Mandrillus sphinx
African green monkey simian foamy virus,Miopithecus talapoin
